Id,Title,Location,PriceEuro,PriceKuna,Area,CijenaKvadratEuro,CijenaKvadratKuna,Posted,Link,Photo
67,"Banderovo, 2s+db za studente",Primorsko-goranska,500,3758,55,9,68,Objava  21.12.2021.,https://www.index.hr/oglasi/banderovo--2s-db-za-studente/oid/3245491,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245491/575-rent_20211221013715694_0_.jpg?preset=oglas-slika-view
68,Jednosoban stan(32m2) Folnegovićevo,Grad Zagreb,350,2631,32,10,82,Objava  21.12.2021.,https://www.index.hr/oglasi/jednosoban-stan-32m2--folnegovicevo/oid/3245490,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245490/615-rent_20211221013122632_0_.jpg?preset=oglas-slika-view
69,"Zagreb, Kvatrić, trosobni stan za najam!!",Grad Zagreb,450,3383,46,9,73,Objava  21.12.2021.,https://www.index.hr/oglasi/zagreb--kvatric--trosobni-stan-za-najam--/oid/3245488,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245488/692-rent_20211221013122726_0_.jpg?preset=oglas-slika-view
70,NAJAM BRAJDA,Primorsko-goranska,500,3758,45,11,83,Objava  21.12.2021.,https://www.index.hr/oglasi/najam-brajda/oid/3245267,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245267/XML-4142-266733_20211221011153187_0_.jpg?preset=oglas-slika-view
71,KOMFORAN JEDNOSOBAN DUGOROČNO,Splitsko-dalmatinska,500,3758,80,6,46,Objava  21.12.2021.,https://www.index.hr/oglasi/komforan-jednosoban-dugorocno/oid/3245259,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245259/XML-4154-190156_20211221011153968_0_.jpg?preset=oglas-slika-view
72,Veliki stan u neposrednoj blizini centra,Primorsko-goranska,650,4886,111,5,44,Objava  21.12.2021.,https://www.index.hr/oglasi/veliki-stan-u-neposrednoj-blizini-centra/oid/3245458,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245458/XML-4002-68566_20211221011048671_0_.jpg?preset=oglas-slika-view
73,"Berislavićeva, luksuzan novouređen dvosoban stan 70m2 za najam",Grad Zagreb,1000,7517,70,14,107,Objava  21.12.2021.,https://www.index.hr/oglasi/berislaviceva--luksuzan-novouredjen-dvosoban-stan-70m2-za-najam/oid/3245257,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245257/482705_20211221011046608_0_.jpg?preset=oglas-slika-view
74,"Trešnjevka, Ozaljska ulica, prekrasan dvosoban stan 56 m2",Grad Zagreb,600,4510,56,10,80,Objava  21.12.2021.,https://www.index.hr/oglasi/tresnjevka--ozaljska-ulica--prekrasan-dvosoban-stan-56-m2/oid/3245258,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245258/656728_20211221011045296_0_.jpg?preset=oglas-slika-view
75,"STAN, NAJAM, ZAGREB, CENTAR, NOVOGRADNJA, 70 m2, 3-soban",Grad Zagreb,1200,9020,70,17,128,Objava  21.12.2021.,https://www.index.hr/oglasi/stan--najam--zagreb--centar--novogradnja--70-m2--3-soban/oid/3245203,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245203/XML-4100-250953-0020833_20211221010829341_0_.jpg?preset=oglas-slika-view
76,"STAN + PARKING, NAJAM, GRADIŠČANSKA, 42 m2, 2-soban",Grad Zagreb,650,4886,42,15,116,Objava  21.12.2021.,https://www.index.hr/oglasi/stan---parking--najam--gradiscanska--42-m2--2-soban/oid/3245208,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245208/XML-4100-265282-0020833_20211221010828763_0_.jpg?preset=oglas-slika-view
77,"G. VEŽICA, 1S+DB, 270 €",Primorsko-goranska,270,2030,57,4,35,Objava  21.12.2021.,https://www.index.hr/oglasi/g--vezica--1s-db--270--/oid/3245153,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245153/9697-rent_20211221010537213_0_.jpg?preset=oglas-slika-view
78,"Najam-Stan-Zagreb-Maksimir, 33 m2",Grad Zagreb,350,2631,33,10,79,Objava  21.12.2021.,https://www.index.hr/oglasi/najam-stan-zagreb-maksimir--33-m2/oid/3245118,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245118/0_2021-12-21-01-04-14-498.jpg?preset=oglas-slika-view
79,"Zagreb,  Savica, 3.5-sobni stan 88m2 za najam, odlična lokacija",Grad Zagreb,500,3758,88,5,42,Objava  21.12.2021.,https://www.index.hr/oglasi/zagreb---savica--3-5-sobni-stan-88m2-za-najam--odlicna-lokacija/oid/3245091,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245091/0_2021-12-21-01-03-39-857.jpg?preset=oglas-slika-view
